Filename,Treatment,Replicate,CumulativeTemp
termoigrometro_control_1_daily.csv,control,1,21.432887149153878
termoigrometro_control_2_daily.csv,control,2,22.02403655365034
termoigrometro_control_3_daily.csv,control,3,23.83473825748508
termoigrometro_shaded_1_daily.csv,shaded,1,15.202305624172396
termoigrometro_shaded_2_daily.csv,shaded,2,19.08661899444606
termoigrometro_shaded_3_daily.csv,shaded,3,13.989735496455848
