date,treatment,tunnel,fruit_weight(g),firmness,acidity(meq/100g),brix(Bx%),ratio acidity/Bx
23/05/2025,control,C1,34.2,,10.47,7.4,0.70678128
23/05/2025,control,C1,43.6,,10.47,7.4,0.70678128
23/05/2025,control,C1,24.3,,10.47,7.4,0.70678128
23/05/2025,control,C1,30.4,,10.47,7.4,0.70678128
23/05/2025,control,C1,51.9,,10.47,7.4,0.70678128
23/05/2025,control,C1,38.8,,10.47,7.4,0.70678128
23/05/2025,control,C1,33.6,,10.47,7.4,0.70678128
23/05/2025,control,C1,23.5,,10.47,7.4,0.70678128
23/05/2025,control,C1,39.2,,10.47,7.4,0.70678128
23/05/2025,control,C1,32.2,,10.47,7.4,0.70678128
23/05/2025,control,C1,47.7,,10.47,7.4,0.70678128
23/05/2025,control,C1,28.8,,10.47,7.4,0.70678128
23/05/2025,control,C1,33.8,,10.47,7.4,0.70678128
23/05/2025,control,C1,26.8,,10.47,7.4,0.70678128
23/05/2025,control,C1,28.7,,10.47,7.4,0.70678128
23/05/2025,control,C1,44.7,,10.47,7.4,0.70678128
23/05/2025,control,C1,21.6,,10.47,7.4,0.70678128
23/05/2025,control,C1,21.7,,10.47,7.4,0.70678128
23/05/2025,control,C1,45.1,,10.47,7.4,0.70678128
23/05/2025,control,C1,36.1,,10.47,7.4,0.70678128
23/05/2025,control,C1,21.8,,10.47,7.4,0.70678128
23/05/2025,control,C2,39.6,,11.73,7.6,0.647911338
23/05/2025,control,C2,37.3,,11.73,7.6,0.647911338
23/05/2025,control,C2,37.8,,11.73,7.6,0.647911338
23/05/2025,control,C2,45.8,,11.73,7.6,0.647911338
23/05/2025,control,C2,39.1,,11.73,7.6,0.647911338
23/05/2025,control,C2,47.4,,11.73,7.6,0.647911338
23/05/2025,control,C2,41.4,,11.73,7.6,0.647911338
23/05/2025,control,C2,40.4,,11.73,7.6,0.647911338
23/05/2025,control,C2,19.3,,11.73,7.6,0.647911338
23/05/2025,control,C2,14.9,,11.73,7.6,0.647911338
23/05/2025,control,C2,38.5,,11.73,7.6,0.647911338
23/05/2025,control,C2,6.4,,11.73,7.6,0.647911338
23/05/2025,control,C2,19.9,,11.73,7.6,0.647911338
23/05/2025,control,C2,31.9,,11.73,7.6,0.647911338
23/05/2025,control,C2,14.3,,11.73,7.6,0.647911338
23/05/2025,control,C2,49.2,,11.73,7.6,0.647911338
23/05/2025,control,C2,8.7,,11.73,7.6,0.647911338
23/05/2025,control,C2,38.6,,11.73,7.6,0.647911338
23/05/2025,control,C2,8.2,,11.73,7.6,0.647911338
23/05/2025,control,C2,30.8,,11.73,7.6,0.647911338
23/05/2025,control,C2,33.6,,11.73,7.6,0.647911338
23/05/2025,control,C2,15.8,,11.73,7.6,0.647911338
23/05/2025,control,C2,23.4,,11.73,7.6,0.647911338
23/05/2025,control,C2,32.9,,11.73,7.6,0.647911338
23/05/2025,control,C2,28.2,,11.73,7.6,0.647911338
23/05/2025,control,C2,35.4,,11.73,7.6,0.647911338
23/05/2025,control,C2,36,,11.73,7.6,0.647911338
23/05/2025,control,C2,46.1,,11.73,7.6,0.647911338
23/05/2025,control,C2,44.1,,11.73,7.6,0.647911338
23/05/2025,control,C2,31.8,,11.73,7.6,0.647911338
23/05/2025,control,C2,41.3,,11.73,7.6,0.647911338
23/05/2025,control,C2,41.3,,11.73,7.6,0.647911338
23/05/2025,control,C2,40.4,,11.73,7.6,0.647911338
23/05/2025,control,C2,44.1,,11.73,7.6,0.647911338
23/05/2025,control,C2,30.9,,11.73,7.6,0.647911338
23/05/2025,control,C2,40,,11.73,7.6,0.647911338
23/05/2025,control,C2,41.7,,11.73,7.6,0.647911338
