receivedAt,Unnamed: 0_mean,Unnamed: 0_std,dewpoint_mean_mean,dewpoint_mean_std,temperature_mean_mean,temperature_mean_std,humidity_mean_mean,humidity_mean_std,vaporPressureDeficit_mean_mean,vaporPressureDeficit_mean_std,dewpoint_max_mean,dewpoint_max_std,temperature_max_mean,temperature_max_std,humidity_max_mean,humidity_max_std,vaporPressureDeficit_max_mean,vaporPressureDeficit_max_std,dewpoint_min_mean,dewpoint_min_std,temperature_min_mean,temperature_min_std,humidity_min_mean,humidity_min_std,vaporPressureDeficit_min_mean,vaporPressureDeficit_min_std,temperature_daytime_mean_mean,temperature_daytime_mean_std,temperature_nighttime_mean_mean,temperature_nighttime_mean_std,photosyntheticallyActiveRadiation_mean_mean,DLI_mol m-2 d-1
2025-01-29 00:00:00+00:00,213.0,,2.336805555555556,,2.8937500000000003,,96.73472222222222,,0.0438888888888888,,10.2,,12.333333333333334,,100.0,,0.42,,-1.5666666666666669,,-1.5666666666666669,,70.13333333333334,,0.0,,4.954761904761904,,0.0083333333333333,,111.98472222222222,9.67548
2025-01-30 00:00:00+00:00,214.0,,0.8791666666666668,,1.6222222222222225,,95.53472222222224,,0.0529166666666666,,6.666666666666667,,10.233333333333334,,100.0,,0.3033333333333333,,-2.6666666666666665,,-2.6666666666666665,,76.03333333333333,,0.0,,4.080952380952381,,-1.82,,110.90138888888887,9.58188
2025-01-31 00:00:00+00:00,215.0,,1.5013888888888889,,1.679166666666667,,98.8625,,0.0116666666666666,,5.766666666666667,,7.333333333333333,,100.0,,0.1066666666666666,,-2.966666666666667,,-2.966666666666667,,89.96666666666665,,0.0,,3.1023809523809525,,-0.3133333333333333,,77.94027777777778,6.734040000000001
2025-02-01 00:00:00+00:00,216.0,,3.783333333333333,,3.783333333333333,,100.0,,0.0,,6.1000000000000005,,6.1000000000000005,,100.0,,0.0,,2.2,,2.2,,100.0,,0.0,,4.538095238095238,,2.7266666666666666,,37.74930555555556,3.26154
2025-02-02 00:00:00+00:00,217.0,,2.645833333333333,,2.772222222222222,,99.21805555555557,,0.0101388888888888,,12.733333333333334,,12.966666666666669,,100.0,,0.18,,-1.933333333333333,,-1.933333333333333,,86.33333333333333,,0.0,,4.478571428571429,,0.3833333333333333,,127.71666666666668,11.034720000000002
2025-02-03 00:00:00+00:00,218.0,,1.0625,,2.2805555555555554,,93.4472222222222,,0.0995833333333333,,11.6,,15.5,,100.0,,0.7600000000000001,,-2.766666666666667,,-2.766666666666667,,51.06666666666666,,0.0,,5.364285714285714,,-2.036666666666666,,152.03055555555554,13.13544
2025-02-04 00:00:00+00:00,219.0,,-0.0090277777777777,,2.285416666666667,,88.21319444444445,,0.1696527777777778,,4.8,,15.3,,100.0,,0.93,,-3.2,,-3.2,,46.53333333333333,,0.0,,5.446428571428571,,-2.14,,151.79861111111111,13.1154
2025-02-05 00:00:00+00:00,220.0,,-0.8361111111111109,,1.8125,,86.9236111111111,,0.1934722222222222,,5.166666666666667,,15.466666666666669,,100.0,,1.0533333333333337,,-3.7,,-3.7,,40.0,,0.0,,5.261904761904762,,-3.0166666666666666,,157.24027777777778,13.58556
2025-02-06 00:00:00+00:00,221.0,,-1.4388888888888889,,1.363888888888889,,85.72083333333335,,0.1904166666666666,,3.733333333333333,,14.533333333333331,,100.0,,0.9233333333333332,,-4.533333333333333,,-4.533333333333333,,44.3,,0.0,,4.919047619047618,,-3.613333333333333,,156.1527777777778,13.491600000000002
2025-02-07 00:00:00+00:00,222.0,,-1.4388888888888889,,0.15,,90.68888888888888,,0.0918055555555555,,2.966666666666667,,8.766666666666667,,100.0,,0.42,,-5.0,,-5.0,,62.7,,0.0,,2.735714285714286,,-3.47,,106.26805555555556,9.18156
2025-02-08 00:00:00+00:00,223.0,,0.9291666666666668,,2.1375,,92.2986111111111,,0.0631944444444444,,2.033333333333333,,5.466666666666666,,100.0,,0.1933333333333333,,-0.8333333333333334,,-0.8333333333333334,,78.46666666666667,,0.0,,3.335714285714286,,0.4600000000000001,,50.48194444444445,4.36164
2025-02-09 00:00:00+00:00,224.0,,2.9819444444444443,,2.9819444444444443,,100.0,,0.0,,4.666666666666667,,4.666666666666667,,100.0,,0.0,,1.3333333333333333,,1.3333333333333333,,100.0,,0.0,,3.414285714285714,,2.3766666666666665,,59.30694444444444,5.12412
2025-02-10 00:00:00+00:00,225.0,,6.120833333333334,,6.122222222222223,,99.9875,,0.0001388888888888,,11.266666666666666,,11.3,,100.0,,0.0033333333333333,,3.4,,3.4,,99.73333333333332,,0.0,,7.326190476190476,,4.4366666666666665,,106.95,9.24048
2025-02-11 00:00:00+00:00,226.0,,6.654166666666668,,6.979166666666667,,97.94027777777778,,0.0252777777777777,,8.933333333333334,,10.666666666666666,,100.0,,0.1366666666666667,,5.066666666666666,,5.066666666666666,,89.26666666666667,,0.0,,8.076190476190476,,5.443333333333333,,84.49305555555556,7.3002
2025-02-12 00:00:00+00:00,227.0,,6.741666666666667,,6.940277777777777,,98.74166666666667,,0.0168055555555555,,9.8,,11.366666666666667,,100.0,,0.14,,4.866666666666667,,4.866666666666667,,90.36666666666667,,0.0,,7.899999999999999,,5.596666666666667,,88.97222222222223,7.687200000000001
2025-02-13 00:00:00+00:00,228.0,,6.505555555555556,,6.694444444444444,,98.77916666666664,,0.0138888888888888,,8.266666666666667,,9.266666666666667,,100.0,,0.0933333333333333,,5.5,,5.5,,92.33333333333331,,0.0,,7.395238095238095,,5.713333333333333,,53.661111111111104,4.63632
2025-02-14 00:00:00+00:00,229.0,,3.022222222222222,,3.4416666666666664,,97.40833333333336,,0.0252777777777777,,5.566666666666666,,6.933333333333334,,100.0,,0.21,,-2.033333333333333,,-2.033333333333333,,78.53333333333335,,0.0,,3.8190476190476192,,2.913333333333333,,61.47777777777778,5.31168
2025-02-15 00:00:00+00:00,230.0,,-2.0708333333333333,,1.6805555555555556,,82.00694444444444,,0.23875,,2.433333333333333,,13.966666666666669,,100.0,,1.0033333333333332,,-4.0,,-4.0,,37.03333333333333,,0.0,,5.34047619047619,,-3.443333333333333,,193.02222222222224,16.677120000000002
2025-02-16 00:00:00+00:00,231.0,,-0.3666666666666667,,1.975,,87.36388888888888,,0.1540277777777778,,3.233333333333333,,13.1,,100.0,,0.73,,-3.4,,-3.4,,51.53333333333333,,0.0,,5.1000000000000005,,-2.4,,171.21805555555557,14.79324
2025-02-17 00:00:00+00:00,232.0,,0.3055555555555556,,2.3694444444444445,,87.80555555555556,,0.1177777777777777,,2.066666666666667,,9.633333333333333,,100.0,,0.49,,-3.2,,-3.2,,59.6,,0.0,,4.095238095238096,,-0.0466666666666666,,114.63055555555556,9.90408
2025-02-18 00:00:00+00:00,233.0,,-0.6798611111111111,,2.5819444444444444,,81.22708333333334,,0.1826388888888889,,2.3666666666666667,,12.7,,99.76666666666668,,0.7366666666666667,,-3.7,,-3.6666666666666665,,49.76666666666667,,0.0,,4.492857142857143,,-0.0933333333333333,,152.11666666666665,13.142879999999998
2025-02-19 00:00:00+00:00,234.0,,-2.084722222222222,,-0.2722222222222222,,88.94583333333333,,0.0879166666666666,,-0.1333333333333333,,5.166666666666667,,100.0,,0.29,,-4.233333333333333,,-4.233333333333333,,66.53333333333335,,0.0,,1.8,,-3.1733333333333333,,98.38194444444444,8.5002
2025-02-20 00:00:00+00:00,235.0,,-1.0,,2.1305555555555555,,84.20416666666667,,0.2186111111111111,,2.8666666666666667,,14.933333333333332,,100.0,,0.96,,-4.6000000000000005,,-4.6000000000000005,,43.4,,0.0,,5.961904761904762,,-3.2333333333333334,,193.30000000000004,16.701120000000003
2025-02-21 00:00:00+00:00,236.0,,0.0458333333333333,,3.344444444444445,,83.48055555555555,,0.25625,,4.866666666666666,,17.666666666666668,,100.0,,1.15,,-4.3,,-4.3,,43.1,,0.0,,7.742857142857143,,-2.813333333333333,,201.8736111111112,17.44188
2025-02-22 00:00:00+00:00,237.0,,1.2347222222222225,,3.076388888888889,,89.64444444444445,,0.1344444444444444,,6.0,,12.6,,100.0,,0.54,,-3.333333333333333,,-3.333333333333333,,63.23333333333333,,0.0,,6.45952380952381,,-1.6599999999999997,,149.75277777777777,12.93864
2025-02-23 00:00:00+00:00,238.0,,3.3208333333333333,,5.527777777777778,,88.05,,0.1854166666666666,,7.966666666666666,,17.333333333333332,,100.0,,0.9066666666666668,,-1.3,,-1.3,,54.4,,0.0,,8.902380952380952,,0.8033333333333333,,167.7513888888889,14.49372
2025-02-24 00:00:00+00:00,239.0,,4.273611111111111,,6.154166666666666,,89.74166666666667,,0.1648611111111111,,8.633333333333333,,17.366666666666667,,100.0,,0.89,,-0.6,,-0.6,,55.36666666666667,,0.0,,9.1,,2.03,,151.175,13.061520000000002
2025-02-25 00:00:00+00:00,240.0,,6.641666666666667,,7.511111111111112,,94.97638888888888,,0.0736111111111111,,9.533333333333331,,14.833333333333334,,100.0,,0.52,,3.466666666666667,,3.466666666666667,,69.3,,0.0,,9.111904761904762,,5.2700000000000005,,105.58611111111112,9.12264
2025-02-26 00:00:00+00:00,241.0,,6.545833333333333,,6.545833333333333,,100.0,,0.0,,8.4,,8.4,,100.0,,0.0,,5.266666666666667,,5.266666666666667,,100.0,,0.0,,6.864285714285714,,6.1,,62.9875,5.44212
2025-02-27 00:00:00+00:00,242.0,,5.268055555555556,,8.730555555555556,,83.66388888888889,,0.3116666666666666,,11.433333333333332,,19.33333333333333,,100.0,,1.3666666666666665,,3.7,,3.7,,39.23333333333333,,0.0,,11.730952380952385,,4.529999999999999,,244.77222222222224,21.14832
2025-02-28 00:00:00+00:00,243.0,,4.021527777777778,,7.642361111111111,,80.59722222222221,,0.2706944444444444,,6.7,,17.099999999999998,,100.0,,1.1,,1.6333333333333335,,1.6333333333333335,,43.833333333333336,,0.0,,10.020238095238096,,4.3133333333333335,,158.85416666666666,13.725
2025-03-01 00:00:00+00:00,244.0,,3.031944444444445,,6.336111111111111,,81.8625,,0.2352777777777777,,5.7,,15.133333333333333,,99.76666666666668,,0.9033333333333332,,0.3999999999999999,,0.4333333333333333,,47.73333333333333,,0.0,,8.657142857142857,,3.086666666666667,,159.68194444444444,13.79652
2025-03-02 00:00:00+00:00,245.0,,-0.0138888888888888,,5.075,,76.95416666666667,,0.3898611111111111,,5.033333333333333,,18.53333333333333,,100.0,,1.4800000000000002,,-3.0666666666666664,,-3.0666666666666664,,30.166666666666668,,0.0,,9.723809523809525,,-1.4333333333333331,,255.6638888888889,22.08936
2025-03-03 00:00:00+00:00,246.0,,0.0027777777777778,,5.523611111111111,,75.8013888888889,,0.4480555555555556,,4.466666666666667,,20.066666666666663,,100.0,,1.6266666666666667,,-3.733333333333333,,-3.733333333333333,,30.433333333333334,,0.0,,10.83095238095238,,-1.9066666666666667,,257.57916666666665,22.25484
2025-03-04 00:00:00+00:00,247.0,,0.5083333333333333,,6.240277777777778,,74.94305555555556,,0.4977777777777778,,4.733333333333333,,22.133333333333336,,100.0,,1.893333333333333,,-3.466666666666667,,-3.466666666666667,,28.266666666666666,,0.0,,11.745238095238095,,-1.4666666666666666,,258.25694444444446,22.3134
2025-03-05 00:00:00+00:00,248.0,,1.025,,7.354166666666667,,72.79861111111111,,0.5766666666666667,,4.8,,23.7,,100.0,,2.12,,-2.766666666666667,,-2.766666666666667,,27.666666666666668,,0.0,,13.18095238095238,,-0.8033333333333335,,260.13888888888886,22.476
2025-03-06 00:00:00+00:00,249.0,,0.967361111111111,,7.342361111111111,,72.51597222222223,,0.5752777777777778,,4.766666666666667,,23.1,,100.0,,2.043333333333333,,-2.9,,-2.9,,27.666666666666668,,0.0,,13.06547619047619,,-0.67,,264.05694444444447,22.81452
2025-03-07 00:00:00+00:00,250.0,,0.4888888888888889,,7.069444444444444,,71.34861111111111,,0.555,,5.033333333333334,,22.5,,100.0,,1.94,,-2.766666666666667,,-2.766666666666667,,28.6,,0.0,,12.535714285714286,,-0.5833333333333334,,260.075,22.47048
2025-03-08 00:00:00+00:00,251.0,,0.6861111111111112,,7.219444444444445,,71.45277777777777,,0.5658333333333333,,3.966666666666667,,22.933333333333334,,100.0,,1.9833333333333327,,-3.333333333333333,,-3.333333333333333,,29.1,,0.0,,12.854761904761904,,-0.67,,269.16805555555555,23.25612
2025-03-09 00:00:00+00:00,252.0,,2.8847222222222224,,8.313194444444443,,72.85902777777777,,0.431875,,5.466666666666666,,18.1,,100.0,,1.18,,-1.3333333333333333,,-1.3333333333333333,,42.86666666666667,,0.0,,11.895238095238096,,3.2983333333333333,,197.69791666666663,17.0811
