receivedAt,Unnamed: 0_mean,Unnamed: 0_std,dewpoint_mean_mean,dewpoint_mean_std,temperature_mean_mean,temperature_mean_std,humidity_mean_mean,humidity_mean_std,vaporPressureDeficit_mean_mean,vaporPressureDeficit_mean_std,dewpoint_max_mean,dewpoint_max_std,temperature_max_mean,temperature_max_std,humidity_max_mean,humidity_max_std,vaporPressureDeficit_max_mean,vaporPressureDeficit_max_std,dewpoint_min_mean,dewpoint_min_std,temperature_min_mean,temperature_min_std,humidity_min_mean,humidity_min_std,vaporPressureDeficit_min_mean,vaporPressureDeficit_min_std
2024-07-17 00:00:00+00:00,17.0,0.0,20.08888888888889,0.0,25.429166666666664,0.0,74.65416666666667,0.0,1.064861111111111,0.0,25.5,0.0,36.7,0.0,96.0,0.0,3.27,0.0,16.3,0.0,17.0,0.0,47.1,0.0,0.08,0.0
2024-07-18 00:00:00+00:00,18.0,0.0,20.216666666666665,0.0,27.13055555555556,0.0,70.125,0.0,1.5481944444444444,0.0,25.100000000000005,0.0,40.6,0.0,96.59999999999998,0.0,4.77,0.0,16.5,0.0,17.0,0.0,37.4,0.0,0.07,0.0
2024-07-19 00:00:00+00:00,19.0,0.0,19.709722222222226,0.0,24.47083333333333,0.0,77.87083333333334,0.0,0.997777777777778,0.0,26.7,0.0,40.1,0.0,96.7,0.0,4.06,0.0,16.9,0.0,17.5,0.0,42.6,0.0,0.07,0.0
2024-07-20 00:00:00+00:00,20.0,0.0,18.916666666666668,0.0,23.222222222222218,0.0,78.96111111111111,0.0,0.7981944444444444,0.0,24.2,0.0,35.7,0.0,95.8,0.0,2.85,0.0,16.5,0.0,17.3,0.0,51.0,0.0,0.09000000000000001,0.0
2024-07-21 00:00:00+00:00,21.0,0.0,19.904166666666665,0.0,25.105555555555554,0.0,75.53472222222223,0.0,1.0558333333333332,0.0,27.7,0.0,37.4,0.0,97.09999999999998,0.0,3.51,0.0,16.0,0.0,16.5,0.0,45.0,0.0,0.05000000000000001,0.0
2024-07-22 00:00:00+00:00,22.0,0.0,20.904225352112675,0.0,24.346478873239437,0.0,81.80845070422535,0.0,0.6247887323943662,0.0,28.5,0.0,32.9,0.0,94.7,0.0,1.8500000000000003,0.0,16.4,0.0,17.3,0.0,55.70000000000001,0.0,0.11,0.0
2024-07-23 00:00:00+00:00,23.0,0.0,19.904166666666665,0.0,23.45138888888889,0.0,81.70833333333333,0.0,0.6397222222222223,0.0,25.100000000000005,0.0,33.9,0.0,94.7,0.0,2.11,0.0,16.8,0.0,17.7,0.0,56.0,0.0,0.11,0.0
2024-07-24 00:00:00+00:00,24.0,0.0,19.18472222222222,0.0,24.563888888888886,0.0,75.16805555555555,0.0,1.0752777777777778,0.0,23.600000000000005,0.0,37.2,0.0,96.5,0.0,3.74,0.0,15.699999999999998,0.0,16.3,0.0,40.7,0.0,0.07,0.0
2024-07-25 00:00:00+00:00,25.0,0.0,19.97222222222222,0.0,25.016666666666666,0.0,75.19166666666666,0.0,0.94375,0.0,26.8,0.0,34.8,0.0,93.3,0.0,2.9599999999999995,0.0,16.5,0.0,18.9,0.0,44.79999999999999,0.0,0.15,0.0
2024-07-26 00:00:00+00:00,26.0,0.0,20.122535211267607,0.0,26.233802816901413,0.0,70.64084507042253,0.0,1.1911267605633802,0.0,26.5,0.0,37.6,0.0,85.7,0.0,3.9,0.0,16.4,0.0,19.1,0.0,39.8,0.0,0.33,0.0
