receivedAt,Unnamed: 0_mean,Unnamed: 0_std,dewpoint_mean_mean,dewpoint_mean_std,temperature_mean_mean,temperature_mean_std,humidity_mean_mean,humidity_mean_std,vaporPressureDeficit_mean_mean,vaporPressureDeficit_mean_std,dewpoint_std_mean,dewpoint_std_std,temperature_std_mean,temperature_std_std,humidity_std_mean,humidity_std_std,vaporPressureDeficit_std_mean,vaporPressureDeficit_std_std
2024-10-10 15:00:00+00:00,2441.0,,13.866666666666667,,14.2,,98.03333333333336,,0.0333333333333333,,0.4041451884327379,,0.3464101615137755,,0.461880215351699,,0.0057735026918962,
2024-10-10 16:00:00+00:00,2442.0,,12.566666666666668,,12.833333333333334,,98.33333333333331,,0.0266666666666666,,0.7637626158259732,,1.1372481406154658,,2.5482019804821823,,0.0378593889720018,
2024-10-10 17:00:00+00:00,2443.0,,11.2,,11.2,,100.0,,0.0,,0.6557438524302007,,0.6557438524302007,,0.0,,0.0,
2024-10-10 18:00:00+00:00,2444.0,,9.9,,9.9,,100.0,,0.0,,,,,,,,,
2024-10-10 19:00:00+00:00,2445.0,,9.5,,9.5,,100.0,,0.0,,0.2645751311064584,,0.2645751311064584,,0.0,,0.0,
2024-10-10 20:00:00+00:00,2446.0,,8.433333333333332,,8.433333333333332,,100.0,,0.0,,0.2516611478423589,,0.2516611478423589,,0.0,,0.0,
2024-10-10 21:00:00+00:00,2447.0,,8.4,,8.4,,100.0,,0.0,,0.3605551275463989,,0.3605551275463989,,0.0,,0.0,
2024-10-10 22:00:00+00:00,2448.0,,7.6,,7.6,,100.0,,0.0,,0.1999999999999998,,0.1999999999999998,,0.0,,0.0,
2024-10-10 23:00:00+00:00,2449.0,,7.1000000000000005,,7.1000000000000005,,100.0,,0.0,,0.3605551275463989,,0.3605551275463989,,0.0,,0.0,
2024-10-11 00:00:00+00:00,2450.0,,6.8,,6.8,,100.0,,0.0,,0.7211102550927976,,0.7211102550927976,,0.0,,0.0,
2024-10-11 01:00:00+00:00,2451.0,,6.3,,6.3,,100.0,,0.0,,0.5291502622129178,,0.5291502622129178,,0.0,,0.0,
2024-10-11 02:00:00+00:00,2452.0,,5.566666666666666,,5.566666666666666,,100.0,,0.0,,0.3511884584284245,,0.3511884584284245,,0.0,,0.0,
2024-10-11 03:00:00+00:00,2453.0,,5.066666666666666,,5.066666666666666,,100.0,,0.0,,0.2309401076758503,,0.2309401076758503,,0.0,,0.0,
2024-10-11 04:00:00+00:00,2454.0,,4.933333333333334,,4.933333333333334,,100.0,,0.0,,0.3214550253664318,,0.3214550253664318,,0.0,,0.0,
2024-10-11 05:00:00+00:00,2455.0,,4.9,,4.9,,100.0,,0.0,,0.1732050807568873,,0.1732050807568873,,0.0,,0.0,
2024-10-11 06:00:00+00:00,2456.0,,5.466666666666666,,5.466666666666666,,100.0,,0.0,,0.4041451884327384,,0.4041451884327384,,0.0,,0.0,
2024-10-11 07:00:00+00:00,2457.0,,8.233333333333333,,8.233333333333333,,99.9,,0.0,,3.435597958628648,,3.435597958628648,,0.1732050807568881,,0.0,
2024-10-11 08:00:00+00:00,2458.0,,13.966666666666669,,17.2,,82.16666666666667,,0.3733333333333333,,0.7023769168568486,,2.116601048851674,,11.97928768054818,,0.2753785273643051,
2024-10-11 09:00:00+00:00,2459.0,,13.833333333333334,,19.7,,69.10000000000001,,0.7133333333333334,,0.3511884584284244,,0.8000000000000007,,1.9313207915827928,,0.0802080627701064,
2024-10-11 10:00:00+00:00,2460.0,,14.333333333333334,,20.666666666666668,,68.23333333333333,,0.82,,0.6429100507328632,,2.9263173671584783,,14.87290601507766,,0.4687216658103186,
2024-10-11 11:00:00+00:00,2461.0,,15.466666666666669,,23.266666666666666,,61.6,,1.1033333333333333,,0.5507570547286105,,1.1372481406154655,,2.9816103031751173,,0.1550268793897799,
2024-10-11 12:00:00+00:00,2462.0,,15.6,,25.6,,54.16666666666666,,1.5033333333333332,,1.0392304845413272,,0.8888194417315589,,1.0066445913694315,,0.060277137733417,
2024-10-11 13:00:00+00:00,2463.0,,16.333333333333332,,26.133333333333336,,54.96666666666667,,1.5333333333333332,,0.907377172587746,,1.625833119767626,,2.829016319029165,,0.2281081614790082,
2024-10-11 14:00:00+00:00,2464.0,,15.1,,25.066666666666663,,54.0,,1.4633333333333336,,0.5999999999999992,,0.757187779440037,,0.9848857801796106,,0.0907377172587746,
2024-10-11 15:00:00+00:00,2465.0,,13.1,,17.866666666666664,,74.16666666666667,,0.5499999999999999,,1.1357816691600542,,2.843120351538664,,7.834113436333004,,0.2424871130596428,
2024-10-11 16:00:00+00:00,2466.0,,11.2,,12.0,,95.0,,0.0733333333333333,,0.7000000000000011,,1.2529964086141676,,3.4597687784012376,,0.055075705472861,
2024-10-11 17:00:00+00:00,2467.0,,9.7,,9.733333333333333,,99.83333333333331,,0.0033333333333333,,0.2999999999999996,,0.3511884584284236,,0.2886751345948139,,0.0057735026918962,
2024-10-11 18:00:00+00:00,2468.0,,8.733333333333334,,8.733333333333334,,100.0,,0.0,,0.3055050463303894,,0.3055050463303894,,0.0,,0.0,
2024-10-11 19:00:00+00:00,2469.0,,7.933333333333334,,7.933333333333334,,100.0,,0.0,,0.4932882862316244,,0.4932882862316244,,0.0,,0.0,
2024-10-11 20:00:00+00:00,2470.0,,7.033333333333334,,7.033333333333334,,100.0,,0.0,,0.0577350269189623,,0.0577350269189623,,0.0,,0.0,
2024-10-11 21:00:00+00:00,2471.0,,6.699999999999999,,6.699999999999999,,100.0,,0.0,,0.1414213562373093,,0.1414213562373093,,0.0,,0.0,
2024-10-11 22:00:00+00:00,2472.0,,5.933333333333334,,5.933333333333334,,100.0,,0.0,,0.1527525231651946,,0.1527525231651946,,0.0,,0.0,
2024-10-11 23:00:00+00:00,2473.0,,5.566666666666666,,5.566666666666666,,100.0,,0.0,,0.3055050463303895,,0.3055050463303895,,0.0,,0.0,
2024-10-12 00:00:00+00:00,2474.0,,5.5,,5.5,,100.0,,0.0,,0.0999999999999996,,0.0999999999999996,,0.0,,0.0,
2024-10-12 01:00:00+00:00,2475.0,,5.566666666666666,,5.566666666666666,,100.0,,0.0,,0.0577350269189623,,0.0577350269189623,,0.0,,0.0,
2024-10-12 02:00:00+00:00,2476.0,,5.633333333333333,,5.633333333333333,,100.0,,0.0,,0.1527525231651947,,0.1527525231651947,,0.0,,0.0,
2024-10-12 03:00:00+00:00,2477.0,,5.95,,5.95,,100.0,,0.0,,0.3535533905932738,,0.3535533905932738,,0.0,,0.0,
2024-10-12 04:00:00+00:00,2478.0,,5.8,,5.8,,100.0,,0.0,,0.2645751311064592,,0.2645751311064592,,0.0,,0.0,
2024-10-12 05:00:00+00:00,2479.0,,5.833333333333333,,5.833333333333333,,100.0,,0.0,,0.2516611478423585,,0.2516611478423585,,0.0,,0.0,
2024-10-12 06:00:00+00:00,2480.0,,6.733333333333333,,6.733333333333333,,100.0,,0.0,,0.3055050463303894,,0.3055050463303894,,0.0,,0.0,
2024-10-12 07:00:00+00:00,2481.0,,9.9,,10.033333333333331,,99.1,,0.0133333333333333,,2.6286878856189837,,2.857154761879961,,1.5588457268119893,,0.023094010767585,
2024-10-12 08:00:00+00:00,2482.0,,12.366666666666667,,15.433333333333332,,82.16666666666667,,0.32,,0.0577350269189618,,1.3576941236277524,,6.841296173484474,,0.1452583904633395,
