receivedAt,Unnamed: 0_mean,Unnamed: 0_std,dewpoint_mean_mean,dewpoint_mean_std,temperature_mean_mean,temperature_mean_std,humidity_mean_mean,humidity_mean_std,vaporPressureDeficit_mean_mean,vaporPressureDeficit_mean_std,dewpoint_max_mean,dewpoint_max_std,temperature_max_mean,temperature_max_std,humidity_max_mean,humidity_max_std,vaporPressureDeficit_max_mean,vaporPressureDeficit_max_std,dewpoint_min_mean,dewpoint_min_std,temperature_min_mean,temperature_min_std,humidity_min_mean,humidity_min_std,vaporPressureDeficit_min_mean,vaporPressureDeficit_min_std,t_above_threshold_mean,t_above_threshold_std,photosyntheticallyActiveRadiation_mean_mean
2024-07-01 21:00:00+00:00,23.0,,14.4,,15.266666666666666,,94.53333333333336,,0.0966666666666666,,14.6,,15.5,,94.9,,0.1,,14.2,,15.0,,94.2,,0.09,,0.0,,0.0
2024-07-01 22:00:00+00:00,24.0,,14.533333333333331,,15.266666666666666,,95.46666666666664,,0.0766666666666666,,15.1,,15.8,,95.8,,0.08,,14.0,,14.8,,95.1,,0.07,,0.0,,0.0
2024-07-01 23:00:00+00:00,25.0,,15.2,,16.0,,95.2,,0.09,,15.3,,16.1,,95.2,,0.09,,15.1,,15.9,,95.2,,0.09,,0.0,,0.0
2024-07-02 00:00:00+00:00,26.0,,14.833333333333334,,15.633333333333333,,95.16666666666669,,0.0866666666666666,,15.1,,15.9,,95.3,,0.09,,14.6,,15.4,,95.1,,0.08,,0.0,,0.0
2024-07-02 01:00:00+00:00,27.0,,14.166666666666666,,14.866666666666667,,95.6,,0.0733333333333333,,14.4,,15.1,,95.7,,0.08,,14.0,,14.7,,95.5,,0.07,,0.0,,0.0
2024-07-02 02:00:00+00:00,28.0,,13.533333333333331,,14.233333333333334,,95.43333333333334,,0.07,,14.0,,14.7,,95.6,,0.07,,13.1,,13.8,,95.3,,0.07,,0.0,,0.0
2024-07-02 03:00:00+00:00,29.0,,13.166666666666666,,13.766666666666666,,96.16666666666669,,0.06,,13.2,,13.8,,96.2,,0.06,,13.1,,13.7,,96.1,,0.06,,0.0,,7.033333333333334
2024-07-02 04:00:00+00:00,30.0,,13.866666666666667,,14.833333333333334,,93.96666666666664,,0.1033333333333333,,14.3,,15.6,,95.7,,0.14,,13.3,,14.0,,92.1,,0.07,,0.0,,67.73333333333333
2024-07-02 05:00:00+00:00,31.0,,15.133333333333333,,17.766666666666666,,84.66666666666667,,0.3166666666666666,,15.6,,18.7,,89.6,,0.39,,14.8,,16.7,,82.1,,0.2,,0.0,,265.8
2024-07-02 06:00:00+00:00,32.0,,16.1,,21.7,,70.6,,0.77,,16.2,,22.5,,73.7,,0.89,,16.0,,20.9,,67.5,,0.65,,0.0,,359.2
2024-07-02 07:00:00+00:00,33.0,,16.566666666666666,,25.133333333333336,,59.3,,1.3033333333333337,,17.1,,26.1,,63.0,,1.59,,15.7,,24.6,,52.9,,1.14,,0.0,,654.3000000000001
2024-07-02 08:00:00+00:00,34.0,,16.366666666666667,,27.73333333333333,,50.13333333333333,,1.8666666666666665,,16.8,,28.9,,52.7,,2.14,,16.1,,26.6,,46.3,,1.65,,2.7333333333333343,,871.0
2024-07-02 09:00:00+00:00,35.0,,16.366666666666664,,29.46666666666667,,45.3,,2.2533333333333334,,17.5,,29.9,,50.2,,2.42,,15.2,,28.9,,41.6,,1.98,,4.466666666666669,,1018.0333333333332
2024-07-02 10:00:00+00:00,36.0,,16.366666666666664,,31.0,,41.36666666666667,,2.6333333333333333,,16.9,,31.2,,42.3,,2.67,,15.7,,30.6,,40.6,,2.61,,6.0,,1074.2333333333331
2024-07-02 11:00:00+00:00,37.0,,15.866666666666664,,31.8,,38.3,,2.9066666666666667,,16.4,,32.3,,40.9,,3.08,,15.5,,31.2,,36.3,,2.69,,6.799999999999997,,1008.0
2024-07-02 12:00:00+00:00,38.0,,15.166666666666666,,33.5,,33.26666666666667,,3.45,,17.8,,34.0,,38.2,,3.58,,13.4,,32.9,,30.5,,3.29,,8.5,,1025.3666666666668
2024-07-02 13:00:00+00:00,39.0,,18.8,,31.6,,46.76666666666667,,2.526666666666667,,20.5,,34.0,,52.3,,2.93,,17.0,,27.7,,43.0,,1.77,,6.599999999999998,,743.4
2024-07-02 14:00:00+00:00,40.0,,16.833333333333332,,28.6,,49.0,,2.013333333333333,,17.6,,30.7,,52.5,,2.41,,16.0,,26.5,,45.4,,1.64,,3.599999999999998,,488.26666666666665
2024-07-02 15:00:00+00:00,41.0,,17.866666666666664,,29.6,,49.833333333333336,,2.1666666666666665,,19.0,,33.9,,56.9,,3.1,,16.4,,25.6,,41.4,,1.41,,4.599999999999998,,498.3333333333333
2024-07-02 16:00:00+00:00,42.0,,17.066666666666666,,26.73333333333333,,55.63333333333333,,1.5766666666666669,,17.3,,28.8,,59.5,,1.99,,16.6,,25.1,,49.7,,1.29,,1.7333333333333345,,362.56666666666666
2024-07-02 17:00:00+00:00,43.0,,16.400000000000002,,24.53333333333333,,60.866666666666674,,1.23,,16.6,,26.9,,68.2,,1.66,,16.0,,22.8,,53.2,,0.88,,0.0,,166.33333333333334
2024-07-02 18:00:00+00:00,44.0,,16.46666666666667,,21.6,,72.8,,0.7033333333333333,,16.8,,22.3,,74.2,,0.77,,16.1,,20.9,,71.3,,0.64,,0.0,,28.1
2024-07-02 19:00:00+00:00,45.0,,15.666666666666666,,20.066666666666663,,75.89999999999999,,0.5633333333333334,,15.7,,20.3,,77.0,,0.6,,15.6,,19.9,,74.8,,0.53,,0.0,,0.9
2024-07-02 20:00:00+00:00,46.0,,15.566666666666668,,19.366666666666664,,78.76666666666667,,0.4766666666666666,,15.7,,19.5,,79.5,,0.5,,15.4,,19.2,,78.1,,0.46,,0.0,,0.0
2024-07-02 21:00:00+00:00,47.0,,16.233333333333334,,18.866666666666664,,84.8,,0.3366666666666666,,16.6,,19.4,,89.7,,0.47,,15.7,,18.3,,79.2,,0.22,,0.0,,0.0
