date,dewpoint_mean,temperature_mean,humidity_mean,vaporPressureDeficit_mean,dewpoint_max,temperature_max,humidity_max,vaporPressureDeficit_max,dewpoint_min,temperature_min,humidity_min,vaporPressureDeficit_min,temperature_daytime_mean,temperature_nighttime_mean,humidity_daytime_mean,humidity_nighttime_mean,vaporPressureDeficit_daytime_mean,vaporPressureDeficit_nighttime_mean,treatment
2025-06-30 00:00:00+00:00,19.12470713,24.43665459,76.06341787,1.12312651,24.42753623,36.60144928,99.05942029,3.312753623,14.6557971,15.02028986,47.90144928,0.017608696,29.5739533,17.21596618,62.8007994,94.71256039,1.838502703,0.116676329,shaded
2024-06-30 00:00:00+00:00,15.75,17.73333333,88.33333333,0.238333333,15.9,18.23333333,90.3,0.286666667,15.6,17.23333333,86.36666667,0.19,,17.73333333,,88.33333333,,0.238333333,shaded
2024-07-31 00:00:00+00:00,19.22573925,24.54867832,75.11189516,1.038644713,23.73010753,34.85053763,95.29247312,2.993010753,15.95591398,16.96451613,47.17741935,0.093333333,28.80952381,18.58349462,63.503149,91.36413978,1.641662826,0.194419355,shaded
2024-08-31 00:00:00+00:00,20.42578405,23.54248432,84.23829525,0.618986335,26.54946237,32.82903226,97.67526882,1.902473118,16.50752688,17.00537634,61.81827957,0.048387097,27.25946621,18.33870968,76.51165515,95.0555914,0.98139977,0.111607527,shaded
2024-09-30 00:00:00+00:00,13.19831019,16.42719907,83.6812037,0.396268519,17.41833333,24.61777778,96.47555556,1.243333333,9.558333333,10.78277778,62.74555556,0.046722222,19.06615079,12.73266667,77.36373016,92.52566667,0.600007937,0.111033333,shaded
2024-10-31 00:00:00+00:00,11.99724462,13.06936604,94.11783154,0.129516129,15.83494624,19.83225806,99.80752688,0.650967742,9.310752688,9.388172043,75.5655914,0.002258065,14.82256144,10.61489247,90.3437788,99.40150538,0.216513057,0.00772043,shaded
2024-11-30 00:00:00+00:00,1.499849537,3.434652778,89.80555556,0.134913194,9.001111111,14.91888889,99.86111111,0.822555556,-2.543333333,-1.982222222,53.07111111,0.000666667,6.075912698,-0.263111111,83.79309524,98.223,0.224335317,0.009722222,shaded
2024-12-31 00:00:00+00:00,-2.138149642,-0.114202509,89.46888441,0.09859319,3.068817204,8.602150538,98.67204301,0.404408602,-5.108602151,-4.221505376,67.91129032,0.007204301,1.425115207,-2.269247312,86.06962366,94.22784946,0.138371736,0.042903226,shaded
2025-01-31 00:00:00+00:00,-0.186144713,0.889852151,93.93564068,0.054502688,4.207526882,8.288172043,99.99462366,0.308064516,-3.253763441,-3.022580645,74.15268817,0,2.34546851,-1.148010753,90.78460061,98.34709677,0.087119816,0.00883871,shaded
2025-02-28 00:00:00+00:00,2.220709325,3.883680556,91.10982143,0.117725694,6.214285714,12.2297619,99.99166667,0.561666667,-0.722619048,-0.721428571,65.5702381,0,6.097619048,0.784166667,85.29723639,99.24744048,0.197623299,0.005869048,shaded
2025-03-31 00:00:00+00:00,5.447614247,8.95484991,83.33674955,0.317252464,9.791397849,19.13978495,99.66989247,1.16344086,1.92688172,2.230107527,53.39139785,0.003225806,12.41338326,4.112903226,73.84168587,96.62983871,0.521330645,0.031543011,shaded
2025-04-30 00:00:00+00:00,10.20296296,13.790625,82.72256944,0.443738426,15.31222222,24.32777778,99.20444444,1.527555556,5.830555556,6.148333333,54.84111111,0.009,17.80472222,8.170888889,73.07813492,96.22477778,0.73143254,0.040966667,shaded
2025-05-31 00:00:00+00:00,13.97870744,17.35545475,83.88686156,0.548206765,20.16344086,28.6483871,99.9516129,1.82344086,8.691397849,8.717204301,56.60430108,0.000430108,21.91440092,10.97293011,73.55614439,98.34986559,0.922250384,0.024545699,shaded
2025-06-30 00:00:00+00:00,20.38746981,24.56557971,80.67092391,0.950277778,27.01521739,36.48043478,99.86376812,2.836521739,14.88550725,15.04347826,54.75507246,0.002608696,29.79901656,17.16582126,69.0126087,97.18050725,1.575766046,0.063103865,shaded
2025-04-30 00:00:00+00:00,10.87284512,14.94081229,79.64630892,0.495214646,13.88444444,23.07333333,95.53888889,1.412,8.135555556,9.056666667,52.88222222,0.093666667,18.00968254,9.854404762,70.00277778,96.02916667,0.757928571,0.051547619,shaded
2025-05-31 00:00:00+00:00,12.63864247,17.25338262,78.76185036,0.67891353,16.98172043,28.32956989,99.62795699,2.148978495,8.720430108,8.861290323,48.29892473,0.003870968,21.67795699,11.05897849,66.02937788,96.58731183,1.128460061,0.049548387,shaded
2025-06-30 00:00:00+00:00,18.92862319,24.435782,75.51955918,1.149058877,24.05289855,36.16376812,99.34492754,3.306956522,14.83043478,15.16811594,46.18550725,0.012608696,29.52818323,17.27727053,61.5891937,95.10724638,1.888425638,0.108611111,shaded
