,receivedAt,dewpoint_mean,temperature_mean,humidity_mean,vaporPressureDeficit_mean,dewpoint_max,temperature_max,humidity_max,vaporPressureDeficit_max,dewpoint_min,temperature_min,humidity_min,vaporPressureDeficit_min,temperature_daytime_mean,temperature_nighttime_mean
0,2024-06-30 00:00:00+00:00,15.75,17.733333333333334,88.33333333333334,0.23833333333333334,15.9,18.233333333333334,90.3,0.2866666666666667,15.6,17.233333333333334,86.36666666666667,0.19000000000000003,,17.733333333333334
1,2024-07-01 00:00:00+00:00,16.537499999999998,20.57361111111111,79.90138888888889,0.655,20.233333333333334,31.766666666666666,95.46666666666665,2.3233333333333337,14.4,15.266666666666666,50.43333333333334,0.07666666666666667,23.39047619047619,16.630000000000003
2,2024-07-02 00:00:00+00:00,15.790277777777776,22.74722222222222,68.99027777777778,1.1595833333333332,18.8,33.5,96.16666666666667,3.4499999999999997,13.166666666666666,13.766666666666666,33.26666666666667,0.06,27.36190476190476,16.286666666666665
3,2024-07-03 00:00:00+00:00,15.043055555555556,18.727777777777778,80.8013888888889,0.49722222222222223,16.900000000000002,25.099999999999998,95.2,1.3533333333333335,13.833333333333334,14.799999999999999,57.166666666666664,0.08333333333333333,21.085714285714285,15.426666666666668
4,2024-07-04 00:00:00+00:00,15.197222222222223,22.075,69.40416666666667,1.1512499999999999,18.400000000000002,33.699999999999996,95.43333333333334,3.26,13.133333333333333,14.133333333333333,37.76666666666667,0.07333333333333335,27.157142857142855,14.959999999999999
5,2024-07-05 00:00:00+00:00,16.481944444444444,23.191666666666666,69.81527777777778,1.2045833333333333,20.8,36.266666666666666,96.23333333333333,3.7933333333333334,12.166666666666666,12.766666666666666,37.06666666666666,0.05333333333333334,28.476190476190478,15.793333333333333
6,2024-07-06 00:00:00+00:00,17.789583333333333,23.178472222222222,73.55277777777778,0.9148611111111111,21.233333333333334,32.699999999999996,92.86666666666667,2.61,14.733333333333334,16.033333333333335,47.833333333333336,0.13,26.73333333333333,18.201666666666668
7,2024-07-07 00:00:00+00:00,17.8625,21.479166666666668,80.71527777777779,0.5519444444444445,20.599999999999998,27.333333333333332,94.73333333333333,1.2833333333333334,15.566666666666668,17.333333333333332,64.23333333333333,0.11,23.7,18.369999999999997
8,2024-07-08 00:00:00+00:00,18.4375,24.126388888888886,74.04652777777778,1.1036805555555556,21.400000000000002,35.43333333333334,95.2,3.2566666666666664,15.833333333333334,17.266666666666666,43.300000000000004,0.10000000000000002,28.633333333333333,17.816666666666666
9,2024-07-09 00:00:00+00:00,18.820833333333333,24.59861111111111,73.35000000000001,1.1222222222222222,22.066666666666666,34.6,96.60000000000001,2.9433333333333334,15.333333333333334,15.866666666666667,46.73333333333333,0.06,29.495238095238097,17.743333333333332
10,2024-07-10 00:00:00+00:00,19.8125,26.94861111111111,69.18333333333334,1.561388888888889,24.833333333333332,39.0,95.60000000000001,3.9566666666666666,16.3,17.0,39.93333333333334,0.08333333333333333,32.66428571428572,18.946666666666665
11,2024-07-11 00:00:00+00:00,20.641666666666666,27.529861111111114,69.47569444444444,1.5361805555555554,25.433333333333334,38.9,95.76666666666667,3.99,16.866666666666664,17.566666666666666,40.96666666666667,0.08333333333333333,32.76309523809524,20.203333333333333
12,2024-07-12 00:00:00+00:00,18.90972222222222,23.243750000000002,78.07847222222223,0.7388194444444444,22.133333333333336,31.566666666666666,93.73333333333333,2.0066666666666664,16.933333333333334,19.099999999999998,55.0,0.1366666666666667,25.45595238095238,20.14666666666667
13,2024-07-13 00:00:00+00:00,18.888194444444444,25.552777777777777,69.88055555555556,1.3158333333333334,23.866666666666664,36.73333333333333,94.53333333333335,3.55,15.933333333333332,17.8,40.2,0.11,30.24285714285714,18.986666666666668
14,2024-07-14 00:00:00+00:00,18.820833333333333,25.41111111111111,70.59861111111111,1.353611111111111,23.733333333333334,37.03333333333333,95.2,3.5866666666666664,15.1,15.966666666666667,42.266666666666666,0.08666666666666667,31.011904761904763,17.57
15,2024-07-15 00:00:00+00:00,18.952083333333334,26.070833333333336,69.42222222222223,1.5160416666666665,23.833333333333332,37.9,96.76666666666667,4.166666666666667,15.333333333333334,15.866666666666667,36.73333333333333,0.056666666666666664,31.88095238095238,17.936666666666667
16,2024-07-16 00:00:00+00:00,19.755555555555556,26.55972222222222,69.86111111111111,1.4619444444444445,24.26666666666667,38.233333333333334,95.56666666666666,3.92,15.733333333333334,16.466666666666665,41.699999999999996,0.08333333333333333,32.05714285714286,18.863333333333333
17,2024-07-17 00:00:00+00:00,20.08888888888889,25.429166666666664,74.65416666666667,1.0648611111111113,24.266666666666666,35.56666666666667,95.60000000000001,2.783333333333333,16.5,17.233333333333334,52.26666666666667,0.08333333333333333,29.907142857142855,19.16
18,2024-07-18 00:00:00+00:00,20.216666666666665,27.130555555555556,70.125,1.5481944444444444,23.933333333333334,39.06666666666667,96.46666666666665,4.286666666666666,16.599999999999998,17.166666666666668,39.1,0.07,32.75714285714286,19.253333333333334
19,2024-07-19 00:00:00+00:00,19.709722222222222,24.47083333333333,77.87083333333334,0.9977777777777778,25.066666666666666,39.46666666666667,96.53333333333335,4.01,17.066666666666666,17.666666666666668,44.03333333333333,0.07,28.495238095238097,18.836666666666666
20,2024-07-20 00:00:00+00:00,18.916666666666668,23.222222222222225,78.96111111111111,0.7981944444444444,23.8,34.06666666666666,95.66666666666667,2.4133333333333336,16.7,17.5,53.800000000000004,0.09000000000000001,26.771428571428572,18.253333333333334
