,receivedAt,dewpoint_mean,temperature_mean,humidity_mean,vaporPressureDeficit_mean,dewpoint_max,temperature_max,humidity_max,vaporPressureDeficit_max,dewpoint_min,temperature_min,humidity_min,vaporPressureDeficit_min,t_above_threshold,temperature_daytime_mean,temperature_nighttime_mean
0,2025-04-03 00:00:00+00:00,11.8,20.3,58.3,0.99,11.8,20.3,58.3,0.99,11.8,20.3,58.3,0.99,0,20.3,
1,2025-04-04 00:00:00+00:00,,,,,,,,,,,,,0,,
2,2025-04-05 00:00:00+00:00,,,,,,,,,,,,,0,,
3,2025-04-06 00:00:00+00:00,,,,,,,,,,,,,0,,
4,2025-04-07 00:00:00+00:00,,,,,,,,,,,,,0,,
5,2025-04-08 00:00:00+00:00,,,,,,,,,,,,,0,,
6,2025-04-09 00:00:00+00:00,,,,,,,,,,,,,0,,
7,2025-04-10 00:00:00+00:00,,,,,,,,,,,,,0,,
8,2025-04-11 00:00:00+00:00,,,,,,,,,,,,,0,,
9,2025-04-12 00:00:00+00:00,,,,,,,,,,,,,0,,
10,2025-04-13 00:00:00+00:00,,,,,,,,,,,,,0,,
11,2025-04-14 00:00:00+00:00,,,,,,,,,,,,,0,,
12,2025-04-15 00:00:00+00:00,,,,,,,,,,,,,0,,
13,2025-04-16 00:00:00+00:00,,,,,,,,,,,,,0,,
14,2025-04-17 00:00:00+00:00,8.937878787878788,11.07121212121212,87.6590909090909,0.1921212121212121,9.090909090909092,11.299999999999999,88.65454545454544,0.21818181818181817,8.763636363636364,10.854545454545455,86.22727272727273,0.17363636363636362,0,12.207142857142857,9.083333333333332
15,2025-04-18 00:00:00+00:00,9.819444444444445,13.594444444444443,81.33055555555556,0.4191666666666667,10.441666666666666,14.866666666666667,84.88333333333334,0.5558333333333333,9.295833333333333,12.4125,78.0125,0.28750000000000003,0,16.547619047619047,9.459999999999999
16,2025-04-19 00:00:00+00:00,9.588888888888889,12.91388888888889,81.42222222222223,0.32125,9.975,13.570833333333333,83.48333333333333,0.37916666666666665,9.270833333333334,12.354166666666666,79.35416666666667,0.2683333333333333,0,14.902380952380952,10.129999999999999
17,2025-04-20 00:00:00+00:00,9.936111111111112,15.325000000000001,73.48333333333333,0.6072222222222222,10.375,15.983333333333334,75.86666666666666,0.6879166666666666,9.533333333333333,14.6625,71.1375,0.5283333333333333,0,18.985714285714288,10.2
18,2025-04-21 00:00:00+00:00,10.733333333333334,13.81111111111111,83.86944444444445,0.35694444444444445,11.137500000000001,14.454166666666666,85.55833333333334,0.42041666666666666,10.329166666666667,13.2125,81.79583333333333,0.305,0,16.688095238095237,9.783333333333333
19,2025-04-22 00:00:00+00:00,10.325000000000001,14.9625,77.12916666666666,0.5601388888888889,10.791666666666666,15.924999999999999,79.49166666666666,0.6629166666666667,9.929166666666667,14.120833333333332,74.80416666666666,0.4633333333333333,0,19.402380952380952,8.746666666666666
20,2025-04-23 00:00:00+00:00,11.353472222222223,14.638888888888888,82.49305555555556,0.37256944444444445,11.762500000000001,15.5375,85.3875,0.45875,11.016666666666666,13.758333333333333,79.97083333333333,0.2783333333333333,0,17.373809523809523,10.809999999999999
21,2025-04-24 00:00:00+00:00,11.87361111111111,14.683333333333332,84.79722222222222,0.31625,12.329166666666666,15.454166666666666,87.70416666666667,0.40208333333333335,11.429166666666667,14.0,81.82083333333334,0.23583333333333334,0,16.96904761904762,11.483333333333333
22,2025-04-25 00:00:00+00:00,9.401388888888889,12.297222222222222,83.8236111111111,0.2773611111111111,9.6875,12.783333333333333,85.90416666666665,0.32625,9.066666666666666,11.808333333333332,81.56666666666666,0.23208333333333334,0,14.371428571428572,9.393333333333334
23,2025-04-26 00:00:00+00:00,9.506944444444445,13.64861111111111,78.80416666666666,0.4398611111111111,9.895833333333334,14.420833333333334,81.00833333333334,0.51625,9.095833333333333,13.083333333333334,76.2625,0.3758333333333333,0,16.88809523809524,9.113333333333333
24,2025-04-27 00:00:00+00:00,11.424999999999999,15.319444444444443,80.7013888888889,0.4893055555555556,11.875,16.037499999999998,82.675,0.57625,10.970833333333333,14.695833333333333,78.3875,0.41958333333333336,0,18.690476190476186,10.6
25,2025-04-28 00:00:00+00:00,11.556944444444445,15.46111111111111,80.90347222222222,0.5298611111111111,12.345833333333333,16.895833333333332,84.57083333333334,0.7295833333333334,10.875,14.191666666666665,77.175,0.36000000000000004,0,20.14047619047619,8.91
26,2025-04-29 00:00:00+00:00,11.633333333333333,18.770833333333332,69.78055555555555,1.1120833333333333,12.166666666666666,19.870833333333334,72.48333333333333,1.2933333333333332,11.041666666666666,17.641666666666666,66.84166666666667,0.94125,0,25.452380952380953,9.416666666666668
27,2025-04-30 00:00:00+00:00,12.991666666666667,19.379166666666666,72.18194444444444,1.0583333333333333,13.716666666666667,20.604166666666668,75.55416666666666,1.2637500000000002,12.333333333333334,18.291666666666668,68.85000000000001,0.8654166666666666,0,25.61904761904762,10.643333333333334
28,2025-05-01 00:00:00+00:00,14.056944444444445,20.412499999999998,72.16944444444444,1.1131944444444446,14.625,21.604166666666668,75.32916666666667,1.3091666666666668,13.4625,19.179166666666667,69.35833333333333,0.9045833333333334,0,26.873809523809523,11.366666666666667
29,2025-05-02 00:00:00+00:00,14.154166666666667,21.54722222222222,68.94583333333334,1.3420833333333333,14.758333333333333,22.383333333333336,71.05,1.46125,13.604166666666666,20.779166666666665,66.48333333333333,1.2316666666666667,0,28.349999999999998,12.023333333333333
