,receivedAt,ecp_mean,temperature_mean,waterContent_mean,ecp_max,temperature_max,waterContent_max,ecp_min,temperature_min,waterContent_min,t_above_threshold
59,2024-08-28 00:00:00+00:00,1744.375,20.354166666666668,36.547222222222224,1755.9166666666667,20.775000000000002,36.666666666666664,1731.3333333333333,19.979166666666668,36.38333333333333,0.0
60,2024-08-29 00:00:00+00:00,1773.013888888889,21.925,36.793055555555554,1786.375,22.304166666666664,36.9625,1758.5,21.541666666666668,36.59583333333333,0.0
61,2024-08-30 00:00:00+00:00,1826.6458333333333,23.226388888888888,36.043055555555554,1840.625,23.59583333333333,36.175000000000004,1813.0833333333333,22.829166666666666,35.920833333333334,0.0
62,2024-08-31 00:00:00+00:00,1891.4027777777776,23.72152777777778,35.67361111111111,1910.125,24.1125,35.8375,1874.0833333333333,23.325,35.50416666666667,0.0
63,2024-09-01 00:00:00+00:00,1878.2569444444443,21.918055555555554,36.39861111111111,1891.4583333333333,22.21666666666667,36.550000000000004,1863.6666666666667,21.604166666666668,36.266666666666666,0.0
64,2024-09-02 00:00:00+00:00,1834.9722222222224,20.319444444444446,36.06944444444444,1848.9166666666667,20.712500000000002,36.19166666666667,1820.875,19.900000000000002,35.954166666666666,0.0
65,2024-09-03 00:00:00+00:00,1897.513888888889,19.679166666666667,35.27638888888889,1910.3333333333333,20.054166666666667,35.4125,1884.0,19.35,35.12083333333333,0.0
66,2024-09-04 00:00:00+00:00,1877.986111111111,18.730555555555558,34.96111111111111,1889.9166666666667,19.037499999999998,35.00833333333333,1864.8333333333333,18.458333333333332,34.9125,0.0
67,2024-09-05 00:00:00+00:00,1875.4166666666667,17.712500000000002,34.395833333333336,1882.1666666666667,17.858333333333334,34.425,1869.25,17.558333333333334,34.375,0.0
68,2024-09-06 00:00:00+00:00,1826.361111111111,20.11388888888889,35.015277777777776,1848.75,20.466666666666665,35.2375,1807.9166666666667,19.745833333333334,34.7375,0.0
69,2024-09-07 00:00:00+00:00,1824.7083333333333,21.044444444444444,35.77777777777778,1840.25,21.445833333333336,36.0375,1809.5416666666667,20.620833333333334,35.475,0.0
