,receivedAt,dewpoint_mean,temperature_mean,humidity_mean,vaporPressureDeficit_mean
869,2025-05-09 15:00:00+00:00,12.333333333333334,20.466666666666665,59.9,0.98
870,2025-05-09 16:00:00+00:00,11.066666666666668,17.866666666666667,64.73333333333333,0.7200000000000001
871,2025-05-09 17:00:00+00:00,10.9,15.133333333333333,76.13333333333334,0.4166666666666667
872,2025-05-09 18:00:00+00:00,10.366666666666667,12.966666666666667,84.26666666666667,0.23666666666666666
873,2025-05-09 19:00:00+00:00,10.233333333333333,12.666666666666666,85.06666666666666,0.21666666666666667
874,2025-05-09 20:00:00+00:00,10.299999999999999,12.233333333333334,88.13333333333333,0.17
875,2025-05-09 21:00:00+00:00,9.566666666666666,11.799999999999999,86.36666666666667,0.19000000000000003
876,2025-05-09 22:00:00+00:00,9.466666666666667,11.200000000000001,89.13333333333333,0.14333333333333334
877,2025-05-09 23:00:00+00:00,9.566666666666666,10.866666666666667,91.76666666666667,0.10666666666666667
878,2025-05-10 00:00:00+00:00,9.466666666666667,10.699999999999998,92.10000000000001,0.10333333333333333
879,2025-05-10 01:00:00+00:00,9.466666666666667,10.633333333333333,92.63333333333333,0.09666666666666666
880,2025-05-10 02:00:00+00:00,9.433333333333334,10.4,93.76666666666667,0.07666666666666667
881,2025-05-10 03:00:00+00:00,9.366666666666667,10.266666666666667,94.33333333333333,0.07
882,2025-05-10 04:00:00+00:00,9.733333333333333,10.966666666666667,92.33333333333333,0.09999999999999999
883,2025-05-10 05:00:00+00:00,10.933333333333332,12.6,89.93333333333334,0.14666666666666667
884,2025-05-10 06:00:00+00:00,11.5,14.233333333333334,83.83333333333333,0.26666666666666666
885,2025-05-10 07:00:00+00:00,12.700000000000001,18.666666666666668,68.39999999999999,0.68
886,2025-05-10 08:00:00+00:00,12.566666666666668,19.333333333333332,64.96666666666667,0.7866666666666666
887,2025-05-10 09:00:00+00:00,14.666666666666666,23.3,58.4,1.1966666666666665
888,2025-05-10 10:00:00+00:00,15.366666666666667,25.96666666666667,52.166666666666664,1.6066666666666667
889,2025-05-10 11:00:00+00:00,14.233333333333334,24.166666666666668,53.96666666666667,1.39
890,2025-05-10 12:00:00+00:00,15.633333333333333,27.866666666666664,47.4,1.9933333333333334
891,2025-05-10 13:00:00+00:00,13.700000000000001,28.666666666666668,40.666666666666664,2.4600000000000004
892,2025-05-10 14:00:00+00:00,15.633333333333335,31.933333333333337,37.86666666666667,3.096666666666667
893,2025-05-10 15:00:00+00:00,13.233333333333334,25.333333333333332,47.53333333333333,1.7333333333333334
894,2025-05-10 16:00:00+00:00,12.299999999999999,17.933333333333334,71.16666666666667,0.63
895,2025-05-10 17:00:00+00:00,14.766666666666666,15.933333333333332,92.89999999999999,0.13
896,2025-05-10 18:00:00+00:00,12.166666666666666,13.466666666666667,92.06666666666666,0.12333333333333334
897,2025-05-10 19:00:00+00:00,11.200000000000001,12.433333333333332,92.13333333333333,0.11333333333333333
898,2025-05-10 20:00:00+00:00,10.200000000000001,11.1,94.2,0.07666666666666667
899,2025-05-10 21:00:00+00:00,9.433333333333332,10.0,96.36666666666667,0.043333333333333335
900,2025-05-10 22:00:00+00:00,9.466666666666667,9.866666666666667,97.26666666666667,0.03333333333333333
901,2025-05-10 23:00:00+00:00,8.833333333333334,9.1,98.33333333333333,0.02
902,2025-05-11 00:00:00+00:00,8.299999999999999,8.4,99.43333333333334,0.006666666666666667
903,2025-05-11 01:00:00+00:00,7.433333333333334,7.466666666666666,99.83333333333333,0.0
904,2025-05-11 02:00:00+00:00,6.866666666666667,6.866666666666667,100.0,0.0
905,2025-05-11 03:00:00+00:00,6.333333333333333,6.333333333333333,100.0,0.0
906,2025-05-11 04:00:00+00:00,7.366666666666667,7.366666666666667,99.89999999999999,0.0
907,2025-05-11 05:00:00+00:00,11.200000000000001,12.5,92.06666666666666,0.13
908,2025-05-11 06:00:00+00:00,13.933333333333332,20.566666666666666,66.0,0.8366666666666666
