,receivedAt,dewpoint_mean,temperature_mean,humidity_mean,vaporPressureDeficit_mean,dewpoint_std,temperature_std,humidity_std,vaporPressureDeficit_std
7682,2025-05-17 00:00:00+00:00,6.066666666666666,6.433333333333334,97.60000000000001,0.023333333333333334,0.4509249752822896,0.6506407098647712,1.178982612255165,0.015275252316519466
7683,2025-05-17 01:00:00+00:00,4.966666666666667,5.033333333333333,99.5,0.0033333333333333335,0.4041451884327384,0.4509249752822896,0.3000000000000007,0.005773502691896258
7684,2025-05-17 02:00:00+00:00,4.433333333333334,4.433333333333334,100.0,0.0,0.4041451884327384,0.4041451884327384,0.0,0.0
7685,2025-05-17 03:00:00+00:00,4.2,4.2,100.0,0.0,0.17320508075688776,0.17320508075688776,0.0,0.0
7686,2025-05-17 04:00:00+00:00,5.5,5.533333333333334,99.83333333333333,0.0,1.0999999999999996,1.1503622617824931,0.2886751345948108,0.0
7687,2025-05-17 05:00:00+00:00,8.266666666666667,10.1,88.8,0.15,0.6806859285554047,1.9519221295943137,7.82368199762747,0.11789826122551597
7688,2025-05-17 06:00:00+00:00,13.1,20.166666666666668,64.23333333333333,0.86,0.854400374531753,2.0792626898334268,5.541058863911599,0.22538855339169286
7689,2025-05-17 07:00:00+00:00,12.133333333333333,23.900000000000002,47.76666666666667,1.5466666666666669,0.8736894948054099,0.20000000000000062,2.1548395145191983,0.049328828623162534
7690,2025-05-17 08:00:00+00:00,13.0,25.900000000000002,44.9,1.8399999999999999,1.4422205101855954,0.5567764362830014,2.9597297173897466,0.060000000000000026
7691,2025-05-17 09:00:00+00:00,12.766666666666666,27.0,41.53333333333333,2.0866666666666664,2.4542480178933275,1.4525839046333944,4.1101500378128915,0.16041612554021312
7692,2025-05-17 10:00:00+00:00,11.733333333333334,26.433333333333334,40.0,2.0733333333333337,1.5821925715074425,1.2662279942148373,2.1656407827707715,0.15275252316519486
7693,2025-05-17 11:00:00+00:00,12.200000000000001,27.8,38.03333333333333,2.313333333333333,1.6462077633154328,1.2165525060596427,1.4977761292440648,0.11372481406154639
7694,2025-05-17 12:00:00+00:00,12.633333333333333,27.53333333333333,39.93333333333333,2.236666666666667,0.5507570547286103,2.3713568549109882,4.254801209614067,0.46090490703976383
7695,2025-05-17 13:00:00+00:00,11.700000000000001,25.933333333333334,41.300000000000004,2.0100000000000002,1.081665382639196,3.2316146634976968,4.899999999999995,0.5771481612203229
7696,2025-05-17 14:00:00+00:00,11.0,24.833333333333332,42.23333333333333,1.87,2.351595203260969,4.195632649950819,4.781561809004805,0.6317436188834835
7697,2025-05-17 15:00:00+00:00,11.233333333333334,21.266666666666666,52.833333333333336,1.1933333333333334,0.40414518843273733,0.5507570547286098,1.2701705922171769,0.06506407098647715
7698,2025-05-17 16:00:00+00:00,11.200000000000001,21.7,51.43333333333334,1.2633333333333334,1.0392304845413267,0.17320508075688582,3.888873015840619,0.10969655114602893
7699,2025-05-17 17:00:00+00:00,10.6,18.5,60.36666666666667,0.85,0.6244997998398412,1.4106735979665879,2.9535289626704744,0.13527749258468688
7700,2025-05-17 18:00:00+00:00,9.266666666666667,13.433333333333332,76.06666666666666,0.37000000000000005,1.0016652800877814,1.106044001535803,1.2055427546683464,0.03605551275463989
7701,2025-05-17 19:00:00+00:00,8.6,11.45,82.85,0.23,0.0,0.4949747468305834,2.7577164466275343,0.042426406871192854
7702,2025-05-17 20:00:00+00:00,8.766666666666667,11.4,84.03333333333335,0.21333333333333335,0.05773502691896327,0.6244997998398406,3.453018003621365,0.05507570547286102
7703,2025-05-17 21:00:00+00:00,8.0,9.933333333333332,87.89999999999999,0.1466666666666667,0.10000000000000009,0.30550504633038944,1.2767145334803731,0.020816659994661334
7704,2025-05-17 22:00:00+00:00,8.133333333333333,10.133333333333333,87.39999999999999,0.15666666666666665,0.11547005383792475,0.11547005383792475,0.17320508075688815,0.005773502691896267
7705,2025-05-17 23:00:00+00:00,8.033333333333333,9.566666666666668,90.33333333333333,0.11666666666666665,0.15275252316519414,0.251661147842358,1.342882471898914,0.020816659994661334
7706,2025-05-18 00:00:00+00:00,7.2,7.966666666666666,94.83333333333333,0.05333333333333334,0.2999999999999996,0.5033222956847159,1.4189197769195199,0.01527525231651947
7707,2025-05-18 01:00:00+00:00,6.333333333333333,6.7,97.60000000000001,0.023333333333333334,0.15275252316519505,0.2999999999999996,0.8000000000000096,0.005773502691896258
7708,2025-05-18 02:00:00+00:00,5.766666666666667,5.8999999999999995,99.3,0.006666666666666667,0.23094010767585038,0.264575131106459,0.3605551275463957,0.005773502691896258
7709,2025-05-18 03:00:00+00:00,5.266666666666667,5.266666666666667,99.93333333333334,0.0,0.11547005383792565,0.11547005383792565,0.11547005383792167,0.0
7710,2025-05-18 04:00:00+00:00,6.666666666666667,6.7,99.7,0.0033333333333333335,0.7637626158259733,0.8185352771872447,0.5196152422706686,0.005773502691896258
