,receivedAt,dewpoint_mean,temperature_mean,humidity_mean,vaporPressureDeficit_mean,dewpoint_max,temperature_max,humidity_max,vaporPressureDeficit_max,dewpoint_min,temperature_min,humidity_min,vaporPressureDeficit_min,temperature_daytime_mean,temperature_nighttime_mean,humidity_daytime_mean,humidity_nighttime_mean,vaporPressureDeficit_daytime_mean,vaporPressureDeficit_nighttime_mean
0,2025-04-03 00:00:00+00:00,11.7,21.35,54.25,1.165,11.7,21.35,54.25,1.165,11.7,21.35,54.25,1.165,21.35,,54.25,,1.165,
1,2025-04-04 00:00:00+00:00,,,,,,,,,,,,,,,,,,
2,2025-04-05 00:00:00+00:00,,,,,,,,,,,,,,,,,,
3,2025-04-06 00:00:00+00:00,,,,,,,,,,,,,,,,,,
4,2025-04-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,
5,2025-04-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,
6,2025-04-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,
7,2025-04-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,
8,2025-04-11 00:00:00+00:00,,,,,,,,,,,,,,,,,,
9,2025-04-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,
10,2025-04-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,
11,2025-04-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,
12,2025-04-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,
13,2025-04-16 00:00:00+00:00,,,,,,,,,,,,,,,,,,
14,2025-04-17 00:00:00+00:00,9.045454545454545,10.871212121212121,89.27727272727272,0.16196969696969696,10.266666666666667,15.85,97.03333333333335,0.595,8.5,8.966666666666667,67.65,0.03333333333333333,11.883333333333335,9.1,85.13571428571429,96.525,0.23214285714285715,0.03916666666666667
15,2025-04-18 00:00:00+00:00,9.974305555555555,13.431944444444445,82.61597222222223,0.3761805555555556,11.866666666666667,22.5,99.39999999999999,1.4266666666666667,7.8999999999999995,8.0,48.833333333333336,0.01,16.254761904761903,9.48,72.4297619047619,96.87666666666667,0.6172619047619048,0.03866666666666667
16,2025-04-19 00:00:00+00:00,9.99375,12.864583333333334,83.70208333333333,0.28055555555555556,12.633333333333333,19.599999999999998,94.5,0.8266666666666667,8.266666666666667,9.333333333333334,62.699999999999996,0.06666666666666667,14.814285714285715,10.135,77.21428571428571,92.785,0.41666666666666663,0.09
17,2025-04-20 00:00:00+00:00,10.231944444444444,15.133333333333333,75.24305555555556,0.5516666666666666,13.299999999999999,23.633333333333336,95.8,1.5033333333333332,7.766666666666666,8.433333333333334,46.9,0.04666666666666667,18.673809523809524,10.176666666666666,63.07142857142857,92.28333333333333,0.8735714285714286,0.101
18,2025-04-21 00:00:00+00:00,10.733333333333334,13.651388888888889,84.60972222222222,0.3343055555555556,14.233333333333334,24.03333333333333,98.3,1.4566666666666668,6.833333333333333,7.1000000000000005,51.73333333333333,0.016666666666666666,16.428571428571427,9.763333333333332,75.76666666666667,96.99,0.5471428571428572,0.036333333333333336
19,2025-04-22 00:00:00+00:00,10.674999999999999,14.786111111111111,79.11180555555556,0.49277777777777776,14.833333333333334,24.03333333333333,99.73333333333333,1.3333333333333333,5.8999999999999995,6.0,52.300000000000004,0.0,19.083333333333336,8.77,67.43571428571428,95.45833333333334,0.8002380952380952,0.06233333333333333
20,2025-04-23 00:00:00+00:00,11.504166666666668,14.438888888888888,84.09444444444445,0.3311111111111111,13.666666666666666,21.866666666666664,99.13333333333333,1.0799999999999998,9.166666666666666,9.366666666666667,60.06666666666666,0.01,17.00952380952381,10.84,75.8047619047619,95.7,0.5254761904761904,0.059
21,2025-04-24 00:00:00+00:00,11.988888888888889,14.597222222222221,85.90555555555557,0.2939583333333333,15.9,22.0,98.36666666666667,1.2333333333333334,10.4,10.799999999999999,53.93333333333334,0.02,16.80238095238095,11.510000000000002,78.24761904761905,96.62666666666667,0.4711904761904762,0.04583333333333334
22,2025-04-25 00:00:00+00:00,9.676388888888889,12.138888888888888,85.89999999999999,0.23583333333333334,11.866666666666667,18.666666666666668,97.16666666666667,0.7600000000000001,8.066666666666666,8.833333333333334,64.93333333333334,0.03333333333333333,14.133333333333335,9.346666666666668,79.50714285714285,94.85,0.36,0.062
23,2025-04-26 00:00:00+00:00,9.698611111111111,13.554166666666667,80.16944444444444,0.4093055555555556,11.533333333333333,21.566666666666666,99.66666666666667,1.28,5.533333333333334,5.666666666666667,48.300000000000004,0.0033333333333333335,16.685714285714287,9.17,68.95238095238095,95.87333333333333,0.6616666666666667,0.05600000000000001
24,2025-04-27 00:00:00+00:00,11.576388888888888,15.070833333333333,82.18055555555556,0.42944444444444446,15.200000000000001,25.066666666666666,99.73333333333333,1.6466666666666665,8.366666666666665,8.366666666666665,49.03333333333333,0.0,18.261904761904763,10.603333333333333,72.01904761904761,96.40666666666667,0.7011904761904761,0.049
25,2025-04-28 00:00:00+00:00,11.654166666666667,15.151388888888889,82.50416666666666,0.45902777777777776,18.566666666666666,23.933333333333334,100.0,1.3233333333333335,7.733333333333333,7.733333333333333,55.73333333333333,0.0,19.59047619047619,8.936666666666666,70.92857142857143,98.71000000000001,0.7754761904761904,0.016
26,2025-04-29 00:00:00+00:00,11.758333333333333,18.269444444444442,71.55694444444444,0.9794444444444445,16.133333333333333,30.066666666666666,100.0,2.5933333333333333,6.8999999999999995,6.8999999999999995,39.300000000000004,0.0,24.561904761904763,9.459999999999999,52.68571428571429,97.97666666666666,1.659047619047619,0.028000000000000004
