receivedAt,PAR_control,DLI_control,PAR_shaded,DLI_shaded,PAR_percent_diff,DLI_percent_diff
2024-06-30 00:00:00+00:00,0.0,0.0,0.0,0.0,,
2024-07-01 00:00:00+00:00,263.7388888888889,22.78704,197.05555555555557,17.0256,25.283845554315075,25.283845554315082
2024-07-02 00:00:00+00:00,498.0465277777778,43.03122,359.94166666666666,31.09896,27.72930909232878,27.72930909232877
2024-07-03 00:00:00+00:00,191.55833333333337,16.55064,158.90902777777777,13.72974,17.04405388552952,17.04405388552951
2024-07-04 00:00:00+00:00,554.3979166666667,47.89998,384.4506944444444,33.216539999999995,30.65437605610692,30.654376056106926
2024-07-05 00:00:00+00:00,488.59722222222223,42.2148,360.2986111111111,31.1298,26.258563347451613,26.258563347451602
2024-07-06 00:00:00+00:00,268.6236111111112,23.20908,216.76319444444445,18.72834,19.30597852219909,19.305978522199073
2024-07-07 00:00:00+00:00,169.5,14.6448,149.47916666666666,12.915,11.811701081612592,11.811701081612593
2024-07-08 00:00:00+00:00,489.8722222222222,42.32496,317.01666666666665,27.39024,35.285845515270424,35.28584551527042
2024-07-09 00:00:00+00:00,364.8097222222222,31.519559999999995,269.49375000000003,23.28426,26.127585537361547,26.127585537361554
2024-07-10 00:00:00+00:00,466.2,40.27968,348.4534722222222,30.10638,25.256655464988796,25.256655464988793
2024-07-11 00:00:00+00:00,477.8208333333334,41.28372,346.9520833333333,29.97666,27.38866555630163,27.388665556301618
2024-07-12 00:00:00+00:00,294.46944444444443,25.44216,239.4833333333333,20.69136,18.672942863341806,18.6729428633418
2024-07-13 00:00:00+00:00,418.91388888888895,36.19416,317.3305555555556,27.41736,24.24921589560305,24.249215895603044
2024-07-14 00:00:00+00:00,477.75555555555553,41.27808,344.24652777777777,29.742899999999995,27.94504976975673,27.945049769756746
2024-07-15 00:00:00+00:00,501.31805555555553,43.31388,358.16388888888883,30.94536,28.55555771036906,28.55555771036905
2024-07-16 00:00:00+00:00,482.2930555555556,41.67012,362.3319444444445,31.30548,24.873074519583813,24.873074519583813
2024-07-17 00:00:00+00:00,333.4048611111111,28.80618,233.2173611111111,20.14998,30.049801813360876,30.049801813360887
2024-07-18 00:00:00+00:00,492.0069444444444,42.5094,360.6430555555556,31.159560000000003,26.699600558935188,26.699600558935195
2024-07-19 00:00:00+00:00,359.6708333333333,31.07556,255.59722222222223,22.083600000000004,28.935793916505435,28.935793916505432
2024-07-20 00:00:00+00:00,282.0708333333333,24.37092,212.3652777777778,18.348360000000003,24.712074882688047,24.712074882688047
2024-07-21 00:00:00+00:00,460.65,39.80016,327.3236111111111,28.28076,28.94309972623225,28.94309972623225
2024-07-22 00:00:00+00:00,493.68611111111113,42.65448,353.7076388888889,30.56034,28.35373916174808,28.353739161748077
2024-07-23 00:00:00+00:00,283.34027777777777,24.4806,231.63333333333333,20.01312,18.24906252297738,18.249062522977372
2024-07-24 00:00:00+00:00,410.7125,35.48556,299.6708333333333,25.89156,27.036349433403338,27.036349433403338
2024-07-25 00:00:00+00:00,429.55,37.11312,303.30069444444445,26.20518,29.391061705402294,29.391061705402304
2024-07-26 00:00:00+00:00,402.5236111111112,34.77804,313.6451388888889,27.09894,22.080312749079614,22.08031274907959
2024-07-27 00:00:00+00:00,471.8305555555556,40.76616,343.1583333333333,29.648879999999995,27.270854061309684,27.270854061309684
2024-07-28 00:00:00+00:00,458.00416666666666,39.57156,330.85,28.58544,27.762665914611397,27.7626659146114
2024-07-29 00:00:00+00:00,479.7236111111111,41.44812,349.2097222222222,30.17172,27.20605904441505,27.20605904441505
2024-07-30 00:00:00+00:00,460.97083333333336,39.82788000000001,328.6430555555556,28.39476,28.706323309199483,28.706323309199494
2024-07-31 00:00:00+00:00,454.6423611111111,39.2811,321.6638888888889,27.79176,29.249028158580074,29.24902815858008
2024-08-01 00:00:00+00:00,361.3972222222222,31.22472,255.02847222222223,22.03446,29.43264182993473,29.432641829934745
2024-08-02 00:00:00+00:00,381.6541666666667,32.974920000000004,261.9472222222222,22.63224,31.365292167501856,31.365292167501856
2024-08-03 00:00:00+00:00,430.5430555555556,37.19892,305.2263888888889,26.37156,29.106651483430173,29.10665148343017
2024-08-04 00:00:00+00:00,412.87916666666666,35.67276,309.4638888888889,26.73768,25.047347051363555,25.04734705136355
2024-08-05 00:00:00+00:00,433.1069444444445,37.42044,309.09166666666664,26.70552,28.633869617781095,28.633869617781084
2024-08-06 00:00:00+00:00,427.3131944444444,36.91986,291.3027777777777,25.16856,31.829210619975274,31.829210619975267
2024-08-07 00:00:00+00:00,306.0708333333333,26.44452,206.56527777777777,17.84724,32.51062980156191,32.51062980156191
2024-08-08 00:00:00+00:00,473.6555555555556,40.92384,321.47083333333336,27.77508,32.12982945881912,32.12982945881912
2024-08-09 00:00:00+00:00,464.0625,40.095,315.0222222222222,27.21792,32.11642349420128,32.11642349420127
2024-08-10 00:00:00+00:00,467.5111111111111,40.39296,312.71250000000003,27.01836,33.1112154197167,33.11121541971671
2024-08-11 00:00:00+00:00,444.2736111111112,38.38524,294.6548611111111,25.45818,33.677163409685626,33.677163409685605
2024-08-12 00:00:00+00:00,392.7722222222222,33.93552,254.03611111111115,21.94872,35.32228178616386,35.32228178616387
2024-08-13 00:00:00+00:00,392.2875,33.89364,259.1958333333333,22.39452,33.92707304379229,33.927073043792284
2024-08-14 00:00:00+00:00,177.76319444444445,15.35874,104.8027777777778,9.05496,41.04360123291362,41.04360123291364
