receivedAt,PAR_control,DLI_control,PAR_shaded,DLI_shaded,PAR_percent_diff,DLI_percent_diff
2025-04-01 00:00:00+00:00,187.5722222,16.20624,176.8,15.27552,5.742973065870085,5.742973077036998
2025-04-02 00:00:00+00:00,300.7416667,25.98408,275.1361111,23.77176,8.514136361936975,8.51413634810237
2025-04-03 00:00:00+00:00,308.0861111,26.61864,290.2402778,25.07676,5.792482249940667,5.79248226055125
2025-04-04 00:00:00+00:00,310.1611111,26.79792,292.6638889,25.28616,5.641333350253145,5.641333357215792
2025-04-05 00:00:00+00:00,312.6680556,27.01452,295.0819444,25.49508,5.624530835506307,5.624530807876651
2025-04-06 00:00:00+00:00,326.6666667,28.224,307.3430556,26.55444,5.915391152457611,5.915391156462587
2025-04-07 00:00:00+00:00,326.2097222,28.18452,243.9222222,21.07488,25.225336463009928,25.225336461291516
2025-04-08 00:00:00+00:00,332.1583333,28.69848,248.25,21.4488,25.26154694550907,25.26154695300936
2025-04-09 00:00:00+00:00,306.7930556,26.50692,229.1111111,19.7952,25.320633267945457,25.32063325350512
2025-04-10 00:00:00+00:00,260.1083333,22.47336,203.4840278,17.58102,21.769508412747197,21.769508431316016
2025-04-11 00:00:00+00:00,342.1152778,29.55876,257.0847222,22.21212,24.85435790731004,24.85435789593339
2025-04-12 00:00:00+00:00,300.5694444,25.9692,232.2402778,20.06556,22.73323781677124,22.73323783558985
2025-04-13 00:00:00+00:00,64.25277778,5.55144,49.31875,4.26114,23.242618134166527,23.242618131511826
2025-04-14 00:00:00+00:00,100.5944444,8.69136,77.14097222,6.66498,23.314878192219535,23.314878223891313
2025-04-15 00:00:00+00:00,102.3375,8.84196,76.67777778,6.62496,25.073626207401983,25.073626209573447
2025-04-16 00:00:00+00:00,144.1180556,12.4518,136.3486111,11.78052,5.391027840095278,5.391027803209184
2025-04-17 00:00:00+00:00,77.05277778,6.65736,64.64583333,5.5854,16.101878228743587,16.101878221997907
2025-04-18 00:00:00+00:00,238.2548611,20.58522,169.4222222,14.63808,28.890339774058027,28.89033976804717
2025-04-19 00:00:00+00:00,112.9895833,9.7623,84.48958333,7.2999,25.223564100001422,25.223564119111273
2025-04-20 00:00:00+00:00,216.025,18.66456,170.3847222,14.72124,21.12731294989006,21.12731293960319
2025-04-21 00:00:00+00:00,164.2722222,14.19312,137.6861111,11.89608,16.184179372475782,16.184179377050295
2025-04-22 00:00:00+00:00,246.4805556,21.29592,209.0909722,18.06546,15.169384582481033,15.169384558168877
2025-04-23 00:00:00+00:00,159.1222222,13.74816,134.0638889,11.58312,15.747852784826188,15.747852803575176
2025-04-24 00:00:00+00:00,179.1916667,15.48216,130.1847222,11.24796,27.34889707904034,27.348897053124364
2025-04-25 00:00:00+00:00,143.5361111,12.40152,113.1472222,9.77592,21.171598329585787,21.171598320205913
2025-04-26 00:00:00+00:00,159.975,13.82184,119.2958333,10.30716,25.42845238318487,25.428452362348285
2025-04-27 00:00:00+00:00,209.2013889,18.075,169.69375,14.66154,18.884979257420223,18.88497925311203
2025-04-28 00:00:00+00:00,302.3305556,26.12136,197.3472222,17.0508,34.72468510225568,34.724685085309495
2025-04-29 00:00:00+00:00,419.8583333,36.27576,293.6638889,25.37256,30.05643437112172,30.05643437932106
2025-04-30 00:00:00+00:00,394.1972222,34.05864,280.2680556,24.21516,28.901565050145596,28.901565065428326
2025-05-01 00:00:00+00:00,369.2055556,31.89936,298.1180556,25.7574,19.25417939187696,19.254179394194747
2025-05-02 00:00:00+00:00,386.6958333,33.41052,307.7819444,26.59236,20.40722503435364,20.407225029721175
2025-05-03 00:00:00+00:00,239.1833333,20.66544,183.9166667,15.8904,23.106403710278915,23.106403734931366
2025-05-04 00:00:00+00:00,277.5597222,23.98116,219.1791667,18.93708,21.033511288043798,21.033511306375495
2025-05-05 00:00:00+00:00,142.1236111,12.27948,130.9444444,11.3136,7.865805416479454,7.865805392410756
2025-05-06 00:00:00+00:00,153.1347222,13.23084,116.6416667,10.07784,23.83068645420509,23.83068648702577
2025-05-07 00:00:00+00:00,107.0222222,9.24672,79.28333333,6.85008,25.918812280091114,25.9188122923588
2025-05-08 00:00:00+00:00,278.9555556,24.10176,208.8027778,18.04056,25.148370911312302,25.148370907352824
2025-05-09 00:00:00+00:00,192.9875,16.67412,147.2111111,12.71904,23.719872478787487,23.71987247303006
2025-05-10 00:00:00+00:00,252.1993056,21.79002,196.125,16.9452,22.23412370886401,22.23412369515952
2025-05-11 00:00:00+00:00,413.6541667,35.73972,342.2930556,29.57412,17.25139424299676,17.251394247072998
2025-05-12 00:00:00+00:00,314.0902778,27.1374,243.3708333,21.02724,22.515642634768632,22.515642618673862
2025-05-13 00:00:00+00:00,244.7652778,21.14772,185.8625,16.05852,24.065005596149142,24.065005589255005
2025-05-14 00:00:00+00:00,319.8652778,27.63636,278.1888889,24.03552,13.029356980115459,13.029356977546962
2025-05-15 00:00:00+00:00,377.8416667,32.64552,310.1347222,26.79564,17.919395997625166,17.919395984502618
2025-05-16 00:00:00+00:00,333.275,28.79496,268.1361111,23.16696,19.545087060235538,19.545087056901625
2025-05-17 00:00:00+00:00,404.9444444,34.9872,319.8638889,27.63624,21.010426658911832,21.01042667032515
2025-05-18 00:00:00+00:00,422.8416667,36.53352,340.8958333,29.4534,19.37979150435508,19.379791490116485
2025-05-19 00:00:00+00:00,393.3194444,33.9828,310.8583333,26.85816,20.96542956979728,20.96542957025318
2025-05-20 00:00:00+00:00,127.7444444,11.03712,96.71111111,8.35584,24.293293877287393,24.293293902757235
